session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,English speaking Monolingual,First Language,Nationality,Sex,Student Status
628847bdfc37fe714f843c50,5dde8fba82f458000c8c7c75,RETURNED,2022-05-21 02:00:29.446000,,218555.554566,40,2347,9,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
62884857c22ebee1dc405e2f,5f4c2538e955e012cd8daa1e,APPROVED,2022-05-21 02:03:12.563000,2022-05-21 02:27:39.769000,1467.206,20,118,0,100,2022-05-23 09:00:41.958000,81A407F4,United States,United States,Other,I only know English,English,United States,Female,Yes
628848a3460e7b8f046bdde3,5591cd21fdf99b63126f6c60,RETURNED,2022-05-21 02:14:19.493000,,217725.543008,31,2299,8,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
628848b4d8520fd3939d8b7b,5de33ff0cc246f3633dc01d2,APPROVED,2022-05-21 02:04:45.672000,2022-05-21 02:23:38.655000,1132.983,35,2363,10,99,2022-05-23 09:00:43.217000,81A407F4,United States,United States,Other,I only know English,English,United States,Male,No
628848c13827408835ffb123,5f50732850c7c600098593df,APPROVED,2022-05-21 02:05:31.270000,2022-05-21 02:27:07.451000,1296.181,23,1612,3,100,2022-05-23 09:00:43.795000,81A407F4,United States,United States,Full-Time,I only know English,English,United States,Male,Yes
62884a8cb913db6e35ac8d53,60bff9298f56d55c8ecd9adf,APPROVED,2022-05-21 02:15:04.061000,2022-05-21 02:34:35.269000,1171.208,31,1217,4,100,2022-05-23 09:00:44.369000,81A407F4,United States,United States,DATA EXPIRED,I only know English,English,United States,Female,No
62884beea5fa7601a44d19d1,5c1655c7ad682500017070d2,RETURNED,2022-05-21 02:18:28.988000,,217476.104071,33,2751,6,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
62884c237b8d72e1a3da05ca,61004894cb6a01bb2ac7aa62,RETURNED,2022-05-21 02:19:17.975000,,217427.130388,23,229,1,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
62884d1a9684fe6a1ecf12c5,5e8a26247ad7526bf85abbff,RETURNED,2022-05-21 02:23:41.386000,,217163.733115,24,2067,31,95,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
62884d3611cd0179867160fc,5e3e54f69e51f80b67c1cc06,RETURNED,2022-05-21 02:32:42.878000,,216622.257496,47,1747,1,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
